"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-08-13","11:15:00",5399.84,"28 Aug 13 5425 C STO 2.25 | 28 Aug 13 5425 P STO 28.30 | 28 Aug 13 5455 C BTO 0.25 | 28 Aug 13 5395 P BTO 10.45",1980,5434.43,"2024-08-13","16:00:00",943,"Expired",28896,52.121212121212125,28,1955906,28560,"",140,2.86,93.5,32.59,22.86,71.46,0
"2024-08-12","11:15:00",5366.97,"28 Aug 12 5390 C STO 3.20 | 28 Aug 12 5390 P STO 27.10 | 28 Aug 12 5420 C BTO 0.35 | 28 Aug 12 5360 P BTO 10.10",1980,5344.39,"2024-08-12","16:00:00",3000,"Expired",-28700,-51.76767676767676,28,1927010,28560,"",140,2.9,2.725,7.72,15.09,0.76,-57.58
"2024-08-09","11:15:00",5332.87,"35 Aug 9 5360 C STO 6.10 | 35 Aug 9 5360 P STO 33.65 | 35 Aug 9 5390 C BTO 1.20 | 35 Aug 9 5330 P BTO 16.65",2185,5344.16,"2024-08-09","16:00:00",1584,"Expired",20860,27.276887871853546,35,1955710,28525,"",175,2.23,159.5,-4.65,18.21,39.13,-15.56
"2024-08-08","11:15:00",5282.35,"40 Aug 8 5305 C STO 11.40 | 40 Aug 8 5305 P STO 35.10 | 40 Aug 8 5335 C BTO 3.15 | 40 Aug 8 5275 P BTO 20.40",2290,5319.31,"2024-08-08","16:00:00",1431,"Expired",34160,37.29257641921397,40,1934850,28400,"",200,1.97,143,53.07,29.78,68.34,-0.22
"2024-08-07","11:15:00",5313.22,"35 Aug 7 5340 C STO 6.35 | 35 Aug 7 5340 P STO 32.90 | 35 Aug 7 5370 C BTO 1.40 | 35 Aug 7 5310 P BTO 15.90",2190,5199.5,"2024-08-07","16:00:00",3000,"Expired",-28525,-37.21461187214612,35,1900690,28350,"",175,2.27,1.241,53.1,20.09,1.37,-43.38
"2024-07-31","11:15:00",5526.24,"41 Jul 31 5550 C STO 9.10 | 41 Jul 31 5550 P STO 32.95 | 41 Jul 31 5580 C BTO 2.40 | 41 Jul 31 5520 P BTO 16.70",2290,5522.3,"2024-07-31","16:00:00",2770,"Expired",-19885,-21.17903930131004,41,1929215,29110,"",205,2.2,24.36,69.15,20.65,31.88,-20.96
"2024-07-23","11:15:00",5581.2,"30 Jul 23 5605 C STO 1.05 | 30 Jul 23 5605 P STO 24.95 | 30 Jul 23 5635 C BTO 0.10 | 30 Jul 23 5575 P BTO 5.65",2020,5555.74,"2024-07-23","16:00:00",3000,"Expired",-29550,-48.76237623762376,30,1949100,29400,"",150,4.52,2.368,0.89,15.9,6.93,-53.22
"2024-07-16","11:15:00",5657.62,"35 Jul 16 5685 C STO 0.95 | 35 Jul 16 5685 P STO 28.15 | 35 Jul 16 5715 C BTO 0.10 | 35 Jul 16 5655 P BTO 7.35",2160,5667.2,"2024-07-16","16:00:00",1780,"Expired",13125,17.36111111111111,35,1978650,29400,"",175,3.91,176.5,12.87,13.53,36.57,-29.4
"2024-07-15","11:15:00",5663.76,"33 Jul 15 5690 C STO 1.70 | 33 Jul 15 5690 P STO 27.75 | 33 Jul 15 5720 C BTO 0.20 | 33 Jul 15 5660 P BTO 8.20",2100,5631.22,"2024-07-15","16:00:00",3000,"Expired",-29865,-43.095238095238095,33,1965525,29700,"",165,3.51,1.945,22.81,25.6,3.33,-48.81
"2024-07-12","11:15:00",5634.78,"32 Jul 12 5660 C STO 1.05 | 32 Jul 12 5660 P STO 26.15 | 32 Jul 12 5690 C BTO 0.15 | 32 Jul 12 5630 P BTO 6.35",2065,5615.35,"2024-07-12","16:00:00",3000,"Expired",-30080,-45.52058111380145,32,1995390,29920,"",160,4.18,2.49,6.22,44.02,54.72,-45.28
"2024-07-05","11:15:00",5550.52,"32 Jul 5 5575 C STO 0.55 | 32 Jul 5 5575 P STO 25.60 | 32 Jul 5 5605 C BTO 0.10 | 32 Jul 5 5545 P BTO 5.05",2095,5567.19,"2024-07-05","16:00:00",781,"Expired",41888,62.482100238663485,32,2025470,28960,"",160,5.08,88,0.89,12.61,76.13,-7.64
